datetime	0	0.5	1	1.5	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
2013-04-29 01:00:00	9.935254237	8.963559322	6.718644068	6.185166667	5.961833333	5.315333333	4.947118644	5.047457627	4.946101695	4.899322034	4.841355932	4.847166667	4.852666667	4.735	4.796101695	4.699661017	4.738305085	4.818135593	4.683833333	4.617166667	4.71	4.610169492	4.576610169
2013-04-29 02:00:00	9.469166667	8.8625	7.084666667	6.122033898	5.892711864	5.458474576	5.013050847	5.057118644	4.956833333	4.887333333	4.840333333	4.828135593	4.812881356	4.730677966	4.81559322	4.700166667	4.7385	4.8275	4.722881356	4.645932203	4.713050847	4.611186441	4.579830508
2013-04-29 03:00:00	8.826101695	8.516101695	7.792372881	6.286271186	5.852833333	5.440333333	5.043833333	5.063333333	4.965762712	4.89440678	4.816949153	4.79779661	4.807333333	4.728333333	4.820166667	4.716101695	4.776779661	4.876610169	4.753728814	4.662033898	4.731166667	4.636166667	4.585166667
2013-04-29 04:00:00	8.525423729	8.307	8.112833333	6.642333333	5.975084746	5.343050847	4.976610169	5.031355932	4.955423729	4.881	4.752833333	4.739666667	4.793220339	4.727627119	4.82	4.733389831	4.8	4.898333333	4.8015	4.732166667	4.803728814	4.66779661	4.613559322
2013-04-29 05:00:00	8.219666667	8.015084746	7.912542373	7.584576271	6.289661017	5.26779661	4.9415	5.009833333	4.938333333	4.848644068	4.756779661	4.737627119	4.802033898	4.730169492	4.82	4.722333333	4.787333333	4.888305085	4.799661017	4.713050847	4.830169492	4.721833333	4.652666667
2013-04-29 06:00:00	7.809322034	7.591864407	7.571525424	7.447166667	7.074166667	5.497	4.937457627	4.999491525	4.896779661	4.843050847	4.789661017	4.776333333	4.792333333	4.693833333	4.779322034	4.698135593	4.743220339	4.876779661	4.793166667	4.71	4.828833333	4.729152542	4.656610169
2013-04-29 07:00:00	7.281666667	7.0715	7.066666667	7.082033898	7.091525424	6.433559322	5.355254237	5.058983051	4.9915	4.947	4.821666667	4.780169492	4.79	4.703389831	4.793220339	4.694333333	4.7405	4.847666667	4.758135593	4.705254237	4.800338983	4.716779661	4.660677966
2013-04-29 08:00:00	6.92779661	6.708983051	6.70559322	6.725423729	6.806	6.5205	5.946833333	5.474333333	5.082711864	4.95220339	4.836440678	4.750508475	4.738833333	4.66	4.759666667	4.671186441	4.729830508	4.819830508	4.74440678	4.686949153	4.776166667	4.679833333	4.630833333
2013-04-29 09:00:00	6.596101695	6.389333333	6.382333333	6.499166667	6.531864407	6.373220339	6.098983051	6.092542373	5.687966102	5.275666667	4.969	4.889666667	4.826779661	4.671525424	4.760677966	4.679491525	4.738305085	4.82	4.739666667	4.673	4.751186441	4.652372881	4.590169492
2013-04-29 10:00:00	6.536166667	6.379491525	6.338983051	6.433220339	6.436949153	6.210338983	5.956333333	5.981833333	5.747166667	5.42220339	5.013898305	4.856271186	4.812372881	4.673220339	4.760166667	4.668	4.723333333	4.812372881	4.709661017	4.627118644	4.699322034	4.573666667	4.507666667
2013-04-29 11:00:00	6.757627119	6.570338983	6.473220339	6.489666667	6.494166667	6.2215	5.84559322	5.670677966	5.178305085	4.775084746	4.64779661	4.676	4.7435	4.649666667	4.710847458	4.608305085	4.660847458	4.73559322	4.593166667	4.4905	4.574833333	4.426779661	4.39559322
2013-04-29 12:00:00	6.7125	6.502	6.490666667	6.538135593	6.497966102	6.16779661	5.778474576	5.540847458	4.876	4.685833333	4.6455	4.638813559	4.681864407	4.594237288	4.651525424	4.540166667	4.585833333	4.673333333	4.55220339	4.430338983	4.521016949	4.394067797	4.39
2013-04-29 13:00:00	6.711355932	6.486271186	6.483559322	6.546949153	6.522166667	6.081166667	5.53	5.143	4.713389831	4.651016949	4.619661017	4.631016949	4.6635	4.576333333	4.646	4.542033898	4.566779661	4.629152542	4.488644068	4.399830508	4.507	4.394333333	4.388333333
